Marka,Yil,Kilometre,Talep_Skoru,Fiyat
Nissan,2011.0,180000.0,85,610000.0
Nissan,2004.0,245000.0,85,350000.0
Nissan,1997.0,310000.0,85,320000.0
Nissan,1999.0,174000.0,85,379750.0
Nissan,2014.0,201000.0,85,520000.0
Nissan,2012.0,129000.0,85,649000.0
Nissan,1997.0,440000.0,85,230000.0
Nissan,1998.0,252000.0,85,300000.0
Nissan,1998.0,350000.0,85,205000.0
Nissan,1991.0,183000.0,85,215000.0
Nissan,2000.0,235000.0,85,210000.0
Nissan,2006.0,286800.0,85,335000.0
Nissan,1997.0,440000.0,85,250000.0
Dacia,2019.0,113000.0,75,727000.0
Dacia,2016.0,135000.0,75,735000.0
Dacia,2009.0,213000.0,75,385000.0
Dacia,2021.0,58800.0,75,949500.0
Dacia,2016.0,220000.0,75,569900.0
Dacia,2013.0,65000.0,75,598750.0
Dacia,2018.0,120000.0,75,440000.0
Dacia,2007.0,340000.0,75,225000.0
Dacia,2019.0,65000.0,75,649000.0
Nissan,2000.0,347000.0,85,210000.0
Nissan,1991.0,400000.0,85,297000.0
Dacia,2015.0,69000.0,75,518000.0
Dacia,2017.0,516000.0,75,369000.0
Dacia,2015.0,192000.0,75,650000.0
Dacia,2007.0,310000.0,75,290000.0
Dacia,2017.0,37524.0,75,729000.0
Dacia,2010.0,201000.0,75,275000.0
Dacia,2013.0,318000.0,75,419000.0
Dacia,2009.0,191000.0,75,377500.0
Dacia,2012.0,141000.0,75,625000.0
Dacia,2017.0,215000.0,75,329500.0
Dacia,2017.0,43000.0,75,860000.0
Dacia,2012.0,275000.0,75,375000.0
Dacia,2006.0,150000.0,75,365000.0
Nissan,2010.0,201000.0,85,510000.0
Dacia,2013.0,163213.0,75,669000.0
Dacia,2021.0,117572.0,75,745000.0
Dacia,2021.0,143000.0,75,747000.0
Dacia,2022.0,55000.0,75,799000.0
Dacia,2014.0,625000.0,75,430000.0
Dacia,2009.0,343000.0,75,270000.0
Dacia,2018.0,190000.0,75,665550.0
Dacia,2015.0,329000.0,75,445000.0
Dacia,2013.0,67000.0,75,490000.0
Dacia,2004.0,260000.0,75,183000.0
Dacia,2015.0,273000.0,75,510000.0
Dacia,2011.0,620000.0,75,209500.0
Dacia,2012.0,186000.0,75,343500.0
Dacia,2010.0,392000.0,75,389950.0
Dacia,2007.0,460000.0,75,275000.0
Dacia,2017.0,210000.0,75,775000.0
Dacia,2016.0,92500.0,75,650000.0
Dacia,2012.0,370000.0,75,435000.0
Dacia,2021.0,74000.0,75,893000.0
Dacia,2013.0,194000.0,75,439750.0
Dacia,2016.0,241000.0,75,630000.0
Dacia,2017.0,190000.0,75,740000.0
Dacia,2018.0,72000.0,75,869000.0
Dacia,2021.0,101000.0,75,775000.0
Dacia,2017.0,40500.0,75,575000.0
Dacia,2015.0,313000.0,75,350000.0
Dacia,2022.0,53000.0,75,977750.0
Dacia,2016.0,38000.0,75,800000.0
Kia,2011.0,236000.0,70,565000.0
Kia,2015.0,131500.0,70,585000.0
Kia,2009.0,105000.0,70,390000.0
Kia,2012.0,172000.0,70,490000.0
Kia,2008.0,254000.0,70,430000.0
Kia,2009.0,301000.0,70,305000.0
Kia,1994.0,340000.0,70,145000.0
Kia,2013.0,190000.0,70,875000.0
Kia,2006.0,295000.0,70,355000.0
Kia,2023.0,35000.0,70,1119900.0
Kia,2011.0,240000.0,70,565000.0
Kia,2013.0,228000.0,70,820000.0
Kia,2016.0,119000.0,70,620000.0
Kia,2011.0,200000.0,70,605000.0
Kia,2006.0,185000.0,70,450000.0
Kia,1999.0,385000.0,70,109000.0
Kia,2003.0,245000.0,70,245000.0
Kia,2013.0,309000.0,70,580000.0
Kia,2020.0,81982.0,70,789500.0
Kia,2009.0,180500.0,70,480000.0
Kia,2010.0,154000.0,70,260000.0
Kia,2008.0,194000.0,70,485000.0
Kia,2010.0,38000.0,70,615000.0
Kia,2020.0,76000.0,70,1240000.0
Kia,2005.0,93100.0,70,450000.0
Kia,2017.0,240000.0,70,810000.0
Kia,2016.0,150000.0,70,885000.0
Kia,2024.0,6300.0,70,1095000.0
Kia,2000.0,267000.0,70,200000.0
Kia,2007.0,283000.0,70,465000.0
Kia,2005.0,189000.0,70,349000.0
Kia,2011.0,150000.0,70,500000.0
Kia,2007.0,202000.0,70,400000.0
Kia,2020.0,69700.0,70,950000.0
Kia,2015.0,134000.0,70,925000.0
Kia,2012.0,393000.0,70,435000.0
Kia,2015.0,152000.0,70,590000.0
Kia,2006.0,218000.0,70,400000.0
Kia,2009.0,185000.0,70,195000.0
Kia,2005.0,229000.0,70,350000.0
Kia,2015.0,126000.0,70,677000.0
Kia,2011.0,63000.0,70,810000.0
Kia,2000.0,256560.0,70,170000.0
Kia,2010.0,315000.0,70,350000.0
Kia,2011.0,190500.0,70,499000.0
Kia,2020.0,98700.0,70,768900.0
Kia,2016.0,99000.0,70,620000.0
Kia,2005.0,245700.0,70,429000.0
Kia,2015.0,200000.0,70,530000.0
Kia,2012.0,260000.0,70,749500.0
Hyundai,2005.0,300000.0,80,230000.0
Hyundai,2019.0,106950.0,80,925750.0
Hyundai,2017.0,96000.0,80,825000.0
Hyundai,2010.0,186000.0,80,615000.0
Hyundai,2024.0,7700.0,80,1065000.0
Hyundai,2010.0,680000.0,80,290000.0
Hyundai,1998.0,284000.0,80,270000.0
Hyundai,1998.0,236000.0,80,295000.0
Hyundai,2024.0,21000.0,80,1140000.0
Hyundai,2006.0,446000.0,80,209000.0
Hyundai,2003.0,217000.0,80,369000.0
Hyundai,2014.0,208000.0,80,550000.0
Hyundai,2014.0,40000.0,80,910000.0
Hyundai,2016.0,248042.0,80,575500.0
Hyundai,2005.0,248500.0,80,300000.0
Hyundai,2006.0,210000.0,80,385000.0
Hyundai,2015.0,177000.0,80,538000.0
Hyundai,2016.0,72000.0,80,829000.0
Hyundai,2009.0,288000.0,80,475000.0
Hyundai,2022.0,34000.0,80,1135000.0
Hyundai,1999.0,352000.0,80,200000.0
Hyundai,2001.0,27000.0,80,319000000.0
Hyundai,2014.0,434760.0,80,428850.0
Hyundai,2013.0,68000.0,80,865950.0
Hyundai,2018.0,112000.0,80,839500.0
Hyundai,2021.0,115000.0,80,819500.0
Hyundai,2014.0,243000.0,80,435000.0
Hyundai,2022.0,58500.0,80,975000.0
Hyundai,2011.0,150000.0,80,420000.0
Hyundai,2012.0,196500.0,80,475000.0
Hyundai,2008.0,243000.0,80,359999.0
Hyundai,1999.0,216000.0,80,280000.0
Hyundai,2011.0,228000.0,80,375000.0
Hyundai,2011.0,83000.0,80,615000.0
Hyundai,2005.0,230000.0,80,315000.0
Hyundai,2009.0,268000.0,80,350000.0
Hyundai,2005.0,310000.0,80,279000.0
Hyundai,2009.0,168000.0,80,370000.0
Hyundai,1996.0,330000.0,80,195000.0
Hyundai,2015.0,95000.0,80,710000.0
Hyundai,2023.0,44500.0,80,1125000.0
Hyundai,2008.0,148000.0,80,518000.0
Hyundai,2006.0,346000.0,80,315000.0
Hyundai,2014.0,225000.0,80,575000.0
Hyundai,2018.0,125000.0,80,727499.0
Hyundai,2015.0,178000.0,80,715000.0
Hyundai,2014.0,234000.0,80,650000.0
Hyundai,2005.0,300000.0,80,220000.0
Hyundai,2022.0,91250.0,80,1010000.0
Hyundai,2021.0,110000.0,80,935000.0
Nissan,2004.0,152000.0,85,405000.0
Nissan,2008.0,222580.0,85,420000.0
Nissan,2016.0,97000.0,85,769000.0
Nissan,2008.0,260000.0,85,330000.0
Nissan,2010.0,31000.0,85,700000.0
Nissan,2008.0,230000.0,85,545000.0
Nissan,1991.0,160000.0,85,250000.0
Nissan,2006.0,279000.0,85,425000.0
Nissan,2005.0,166000.0,85,325000.0
Nissan,2004.0,149000.0,85,550000.0
Nissan,2006.0,345000.0,85,385000.0
Nissan,1995.0,310000.0,85,255000.0
Nissan,2001.0,232000.0,85,329999.0
Nissan,2007.0,230000.0,85,320000.0
Nissan,2001.0,345000.0,85,240000.0
Nissan,2011.0,280000.0,85,450000.0
Nissan,2004.0,200000.0,85,310000.0
Nissan,2016.0,106000.0,85,725000.0
Nissan,2000.0,162500.0,85,365000.0
Nissan,2006.0,244000.0,85,334500.0
Nissan,2016.0,97000.0,85,535000.0
Nissan,2007.0,96000.0,85,499999.0
Nissan,2015.0,92000.0,85,785000.0
Nissan,2006.0,220000.0,85,370000.0
Nissan,2012.0,106000.0,85,560000.0
Nissan,2006.0,227000.0,85,310000.0
Nissan,2004.0,398000.0,85,390000.0
Nissan,1999.0,240000.0,85,355000.0
Nissan,2007.0,287000.0,85,325000.0
Nissan,1999.0,218000.0,85,315000.0
Nissan,2006.0,340000.0,85,240000.0
Nissan,2004.0,398000.0,85,385000.0
Nissan,2011.0,130000.0,85,575000.0
Nissan,2006.0,179000.0,85,494000.0
Nissan,2012.0,291000.0,85,440000.0
Nissan,2007.0,252000.0,85,430000.0
Nissan,2004.0,246000.0,85,315000.0
Nissan,2000.0,415000.0,85,290000.0
Nissan,2004.0,450000.0,85,200000.0
Nissan,2008.0,199000.0,85,400000.0
Nissan,2016.0,131000.0,85,690000.0
Nissan,2014.0,89900.0,85,775000.0
Nissan,2017.0,95000.0,85,789000.0
Nissan,2014.0,146000.0,85,705000.0
